Monthly Income,id_income
19999,1
19973,2
19943,3
19926,4
19847,5
19833,6
19740,7
19717,8
19701,9
19665,10
19658,11
19636,12
19627,13
19626,14
19613,15
19586,16
19566,17
19537,18
19517,19
19513,20
19502,21
19436,22
19431,23
19419,24
19406,25
19392,26
19331,27
19328,28
19272,29
19237,30
19232,31
19202,32
19197,33
19190,34
19189,35
19187,36
19161,37
19144,38
19141,39
19094,40
19081,41
19068,42
19049,43
19045,44
19038,45
19033,46
18947,47
18880,48
18844,49
18789,50
18740,51
18722,52
18711,53
18665,54
18606,55
18430,56
18303,57
18300,58
18265,59
18213,60
18200,61
18172,62
18061,63
18041,64
17924,65
17875,66
17861,67
17861,68
17856,69
17779,70
17665,71
17650,72
17639,73
17603,74
17584,75
17567,76
17465,77
17444,78
17426,79
17399,80
17328,81
17328,82
17181,83
17174,84
17169,85
17159,86
17123,87
17099,88
17068,89
17048,90
17046,91
17007,92
16959,93
16885,94
16880,95
16872,96
16856,97
16835,98
16823,99
16799,100
16792,101
16756,102
16752,103
16704,104
16659,105
16627,106
16606,107
16598,108
16595,109
16555,110
16437,111
16422,112
16413,113
16328,114
16307,115
16291,116
16184,117
16124,118
16064,119
16032,120
16015,121
15992,122
15972,123
15787,124
15427,125
15402,126
15379,127
15202,128
14852,129
14814,130
14756,131
14732,132
14411,133
14336,134
14275,135
14118,136
14026,137
13973,138
13966,139
13964,140
13872,141
13826,142
13770,143
13757,144
13744,145
13734,146
13726,147
13675,148
13664,149
13603,150
13591,151
13582,152
13577,153
13570,154
13549,155
13525,156
13503,157
13499,158
13496,159
13464,160
13458,161
13402,162
13348,163
13341,164
13320,165
13269,166
13247,167
13245,168
13237,169
13225,170
13212,171
13206,172
13191,173
13142,174
13120,175
13116,176
12965,177
12808,178
12742,179
12504,180
12490,181
12185,182
12061,183
12031,184
11996,185
11994,186
11957,187
11935,188
11916,189
11904,190
11878,191
11836,192
11713,193
11691,194
11631,195
11557,196
11510,197
11416,198
11245,199
11244,200
11159,201
11103,202
11031,203
10999,204
10976,205
10965,206
10938,207
10934,208
10932,209
10920,210
10903,211
10883,212
10880,213
10855,214
10851,215
10845,216
10820,217
10798,218
10793,219
10761,220
10748,221
10739,222
10725,223
10686,224
10685,225
10673,226
10648,227
10609,228
10596,229
10552,230
10527,231
10512,232
10502,233
10496,234
10475,235
10466,236
10453,237
10447,238
10445,239
10435,240
10422,241
10388,242
10377,243
10368,244
10333,245
10322,246
10274,247
10266,248
10252,249
10248,250
10239,251
10231,252
10221,253
10209,254
10124,255
10096,256
9998,257
9991,258
9985,259
9981,260
9980,261
9980,262
9957,263
9936,264
9924,265
9888,266
9884,267
9852,268
9824,269
9756,270
9738,271
9725,272
9724,273
9715,274
9713,275
9705,276
9699,277
9679,278
9667,279
9637,280
9613,281
9610,282
9602,283
9547,284
9526,285
9525,286
9439,287
9434,288
9419,289
9396,290
9380,291
9362,292
9278,293
9250,294
9241,295
9208,296
9204,297
9071,298
9069,299
8998,300
8966,301
8943,302
8938,303
8865,304
8858,305
8853,306
8847,307
8837,308
8834,309
8823,310
8793,311
8789,312
8740,313
8726,314
8686,315
8639,316
8633,317
8628,318
8621,319
8620,320
8606,321
8578,322
8500,323
8474,324
8463,325
8412,326
8396,327
8392,328
8381,329
8380,330
8376,331
8346,332
8321,333
8268,334
8237,335
8189,336
8120,337
8103,338
8095,339
8020,340
8008,341
7991,342
7988,343
7969,344
7945,345
7918,346
7898,347
7880,348
7879,349
7861,350
7847,351
7823,352
7779,353
7756,354
7756,355
7725,356
7655,357
7644,358
7642,359
7637,360
7632,361
7625,362
7596,363
7587,364
7547,365
7525,366
7510,367
7491,368
7484,369
7457,370
7441,371
7428,372
7412,373
7406,374
7403,375
7379,376
7351,377
7295,378
7264,379
7260,380
7143,381
7140,382
7119,383
7104,384
7094,385
7083,386
7082,387
7005,388
6962,389
6949,390
6932,391
6931,392
6929,393
6893,394
6883,395
6877,396
6870,397
6861,398
6854,399
6852,400
6842,401
6834,402
6833,403
6825,404
6815,405
6812,406
6811,407
6811,408
6804,409
6804,410
6799,411
6782,412
6781,413
6755,414
6725,415
6712,416
6694,417
6687,418
6674,419
6667,420
6653,421
6652,422
6651,423
6646,424
6644,425
6632,426
6623,427
6586,428
6583,429
6582,430
6578,431
6577,432
6567,433
6553,434
6549,435
6545,436
6540,437
6538,438
6524,439
6516,440
6513,441
6502,442
6500,443
6500,444
6499,445
6474,446
6472,447
6465,448
6447,449
6439,450
6434,451
6430,452
6410,453
6397,454
6392,455
6389,456
6388,457
6385,458
6384,459
6377,460
6349,461
6347,462
6347,463
6347,464
6334,465
6323,466
6322,467
6306,468
6294,469
6288,470
